index,fas_code,enrollment
632,FAS-218907-2218-1-1-01,10
633,FAS-125097-2218-1-1-001,18
634,FAS-159554-2218-1-1-01,8
635,FAS-110673-2218-1-1-001,11
636,FAS-108091-2218-1-1-001,11
637,FAS-212821-2218-1-1-001,15
638,FAS-216237-2218-1-1-001,10
639,FAS-216233-2218-1-1-001,15
640,FAS-216231-2218-1-1-001,8
641,FAS-216232-2218-1-1-001,14
642,FAS-216239-2218-1-1-001,11
643,FAS-216326-2218-1-1-001,17
644,FAS-218272-2218-1-1-001,11
645,FAS-218273-2218-1-1-001,10
646,FAS-218271-2218-1-1-001,14
647,FAS-218274-2218-1-1-001,8
648,FAS-218276-2218-1-1-001,10
649,FAS-218275-2218-1-1-001,7
650,FAS-118347-2218-1-1-001,28
651,FAS-218311-2218-1-1-001,15
652,FAS-215760-2218-1-1-001,16
653,FAS-126539-2218-1-1-001,15
654,FAS-218044-2218-1-1-001,14
655,FAS-218047-2218-1-1-001,30
656,FAS-207690-2218-1-1-001,6
657,FAS-110650-2218-1-1-001,12
658,FAS-127465-2218-1-1-001,11
659,FAS-114575-2218-1-1-001,14
660,FAS-218152-2218-1-1-001,30
661,FAS-218043-2218-1-1-001,14
662,FAS-212948-2218-1-1-001,7
663,FAS-218045-2218-1-1-001,12
664,FAS-109660-2218-1-1-001,48
665,FAS-218042-2218-1-1-001,7
666,FAS-218048-2218-1-1-001,12
667,FAS-118977-2218-1-1-001,29
668,FAS-118977-2218-1-1-002,7
669,FAS-123398-2218-1-1-001,92
670,FAS-123396-2218-1-1-001,30
671,FAS-212935-2218-1-1-001,15
672,FAS-218843-2218-1-1-001,20
673,FAS-218842-2218-1-1-001,13
674,FAS-218686-2218-1-1-001,16
675,FAS-160496-2218-1-1-001,26
676,FAS-218690-2218-1-1-001,17
677,FAS-218691-2218-1-1-001,33
678,FAS-218687-2218-1-1-001,13
679,FAS-203602-2218-1-1-001,11
680,FAS-218688-2218-1-1-001,10
681,FAS-122718-2218-1-1-001,12
682,FAS-159565-2218-1-1-001,28
683,FAS-122595-2218-1-1-001,7
684,FAS-113837-2218-1-1-001,16
685,FAS-110603-2218-1-1-001,35
686,FAS-217870-2218-1-1-001,15
687,FAS-213580-2218-1-1-001,15
688,FAS-218850-2218-1-1-001,13
689,FAS-204010-2218-1-1-001,16
690,FAS-218715-2218-1-1-001,6
691,FAS-208048-2218-1-1-001,60
692,FAS-156174-2218-1-1-001,9
693,FAS-110440-2218-1-1-001,87
694,FAS-122550-2218-1-1-001,68
